Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3114 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155445.17633885,1903206.49998919,41.8902013035,-87.7045868112,"(41.8902013035, -87.7045868112)"
Near North Side,8,ARO,Xavier Chicago,625 W. Division St.,60622,312-642-2279,Greystar Property Management,24,1171812.25045862,1908210.38765268,41.9035874398,-87.6443320836,"(41.9035874398, -87.6443320836)"
Grand Boulevard,38,Multifamily,Legends South - Gwendolyn Place,4333 S. Michigan Ave.,60653,773-624-7676,Interstate Realty Management Co.,71,1177923.90364588,1876177.55266653,41.8155503961,-87.6228565224,"(41.8155503961, -87.6228565224)"
Edgewater,77,Multifamily,Bell Shore Apts.,1062 W. Bryn Mawr Ave.,60660,773-334-5407,Holsten Management Corp.,105,1167941.81328281,1937401.25662814,41.9837729037,-87.6577038394,"(41.9837729037, -87.6577038394)"
Near West Side,28,Senior,McCrory Senior Apts.,1637-59 W. Washington Blvd.,60612,312-243-3333,Leasing & Management Co. Inc.,62,,,,,
North Lawndale,29,Senior,Roosevelt Towers,3440 W. Roosevelt Road,60624,773-265-6961,"East Lake Management Group, Inc.",104,1153440.12419366,1894532.77495948,41.8664397713,-87.7121808603,"(41.8664397713, -87.7121808603)"
Lakeview,6,Supportive,Buffet Place,3208 N. Shefield Ave.,60657,312-572-5272,Thresholds,51,1169002.94329912,1921540.75961749,41.9402281368,-87.6542634882,"(41.9402281368, -87.6542634882)"
Lower West Side,31,Multifamily,Casa San Luis,1646-50 S. Throop St.,60608,312-666-1323,The Resurrection Project,12,1167939.64144991,1891689.48027696,41.8583373045,-87.6590337725,"(41.8583373045, -87.6590337725)"
Greater Grand Crossing,69,Artist Housing,Dorchester Art + Housing Collaborative,1450 E. 70th St.,60619,773-324-2270,Leasing & Management Co. Inc.,32,1187273.42007368,1858913.33794957,41.7679588345,-87.5891095264,"(41.7679588345, -87.5891095264)"
South Shore,43,Senior,Senior Suites of Rainbow Beach,2804 E. 77th Place,60649,773-374-5333,Senior Lifestyle Corp.,87,1196631.91208052,1854159.4837005,41.7546866025,-87.5549647165,"(41.7546866025, -87.5549647165)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3554 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1152342.72760524,1903805.74547926,41.8919075104,-87.7159646599,"(41.8919075104, -87.7159646599)"
West Town,24,ARO,Centrum Wicker Park,1664 W. Division St.,60622,312-368-3000,Centrum Partners,6,1164833.06851895,1908092.56216954,41.9034150774,-87.6699714414,"(41.9034150774, -87.6699714414)"
North Lawndale,29,Multifamily,Park Douglas,1224 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,31,1158521.5169877,1894293.84948975,41.8656817278,-87.6935330428,"(41.8656817278, -87.6935330428)"
Near South Side,33,Senior,Hilliard Homes Phase I,30 W. Cermak Road,60616,312-326-1455,Holsten Real Estate Dev. Corp.,151,1176346.44120622,1889816.86140397,41.8530133902,-87.628232211,"(41.8530133902, -87.628232211)"
West Town,24,Multifamily,North & Talman Phase III,2656 W. North Ave.,60647,773-602-2888,Hispanic Housing Dev. Corp.,18,1158163.07040363,1910570.521178,41.9103537221,-87.694404013,"(41.9103537221, -87.694404013)"
Portage Park,15,ARO,4015 Narragansett LLC,4015-23 N. Narragansett Ave.,60634,708-867-3799,Zidan Management Group,2,1133012.82543309,1926100.10407244,41.9534456208,-87.7864337467,"(41.9534456208, -87.7864337467)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,607 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apts.,6,1154639.54797132,1903911.99297257,41.8921534052,-87.7075265659,"(41.8921534052, -87.7075265659)"
Oakland,36,Multifamily,Lakefront Phase II,1113 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184313.13044188,1877335.2356509,41.8185798091,-87.5993837219,"(41.8185798091, -87.5993837219)"
Near South Side,33,Senior,G&A Senior Residences at Eastgate Village,300 E. 26th Street,60616,773-381-7400,Eastgate Village Partners LP,127,1178501.16178602,1887204.43984735,41.8457959044,-87.6204033747,"(41.8457959044, -87.6204033747)"
Ashburn,70,Senior,Wrightwood Senior Apts.,2815 W. 79th St.,60652,773-471-7777,Ludwig and Company,85,1158906.93376612,1852040.95426992,41.7497264566,-87.6932733372,"(41.7497264566, -87.6932733372)"
North Lawndale,29,Multifamily,Park Douglas,1260 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,1,1158196.48044518,1893944.25275005,41.8647290398,-87.6947358195,"(41.8647290398, -87.6947358195)"
Near West Side,28,ARO,171 N. Aberdeen St.,171 N. Aberdeen St.,60607,773-675-0244,Medici Living,6,,,,,
Grand Boulevard,38,Multifamily,Progressive Square,4752 S. Wabash Ave.,60614,773-975-7234,CMHDC/Progressive NFP/Kass Management,107,1177483.24635564,1873312.72207264,41.8076990345,-87.6245595889,"(41.8076990345, -87.6245595889)"
Logan Square,22,Senior,Renaissance West,2517 W. Fullerton Ave.,60647,773-862-2500,Renaissance Realty Group Inc.,41,1159142.56328417,1915828.56073189,41.9247620985,-87.6906609777,"(41.9247620985, -87.6906609777)"
Chicago Lawn,66,Senior,Churchview Manor Independent Living,2626 W. 63rd St.,60629,773-925-0730,Greater Southwest Dev. Corp.,60,1159807.02751173,1862817.68973373,41.7792809902,-87.6896794864,"(41.7792809902, -87.6896794864)"
Woodlawn,42,Multifamily,Woodlawn Station,6253 S. Cottage Grove Ave.,60637,773-955-8668,Preservation Housing Management LLC,55,,,,,
Lakeview,6,ARO,3220 Lincoln,3220 N. Lincoln Ave.,60657,312-214-3563,3220 Lincoln LLC,2,,,,,
North Lawndale,29,Multifamily,Praise Apts.,1859 S. Pulaski Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,11,1150056.06296146,1890463.50315966,41.8553397217,-87.7247100763,"(41.8553397217, -87.7247100763)"
Near North Side,8,Multifamily,Parkside-I Rental,545 W. Division St.,60610,312-944-8500,Holsten Management Corp.,116,1172154.28894295,1908220.99754122,41.9036090085,-87.6430753954,"(41.9036090085, -87.6430753954)"
Humboldt Park,23,Multifamily,Bloomingdale Apts.,1745 N. Keystone Ave.,60639,773-276-2965,Village Green Management Co.,48,1149146.63625855,1911465.93887072,41.9129903623,-87.7275039055,"(41.9129903623, -87.7275039055)"
Uptown,3,Senior,Kenmore Senior Housing,5040 N. Kenmore Ave.,60640,773-769-3006,The Habitat Co.,98,1168292.83212033,1934023.28994326,41.9744960685,-87.6565110221,"(41.9744960685, -87.6565110221)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,526 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apts.,12,1152910.9641335,1903460.21247466,41.8909480951,-87.7138869273,"(41.8909480951, -87.7138869273)"
Washington Heights,73,Senior,Brainerd Senior Center,8915 S. Loomis St.,60620,773-429-1501,Realty & Mortgage Co.,60,1168602.53357585,1845525.79831643,41.7316445313,-87.6579318552,"(41.7316445313, -87.6579318552)"
Lower West Side,31,Multifamily,Casa Chiapas,1712 W. 17th St.,60608,312-666-1323,The Resurrection Project,72,1165119.37257759,1891824.73932248,41.8587687803,-87.6693820787,"(41.8587687803, -87.6693820787)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1757 N. Drake Ave.,60647,773-276-5338,LUCHA,3,,,,,
Douglas,35,Senior,Pioneer Gardens Supportive Living,3800 S. King Dr.,60653,773-420-4100,Pioneer Gardens Senior Housing,120,1179441.35819138,1879836.39865849,41.8255559976,-87.6171784181,"(41.8255559976, -87.6171784181)"
Edgewater,77,Multifamily,Winthrop Apts.,6214 N. Winthrop Ave.,60660,773-477-7070,Hunter Properties,108,1167688.70860106,1941496.36814315,41.9950154576,-87.6585160357,"(41.9950154576, -87.6585160357)"
Oakland,36,Multifamily,Lakefront Phase II,4130 S. Oakenwald Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184448.12897262,1877628.13862618,41.8193803898,-87.5988793227,"(41.8193803898, -87.5988793227)"
Austin,25,Senior HUD 202,Enola A. Dew Senior Apts.,4623 W. Gladys Ave.,60644,773-287-2972,"Prairie Management & Development, Inc.",60,1145481.11141751,1897910.0621115,41.8758617765,-87.7413139552,"(41.8758617765, -87.7413139552)"
North Lawndale,29,Multifamily,Park Douglas,1220 S. Talman Ave.,60608,773-893-4800,Interstate Realty Management Co.,10,1158851.58703145,1894355.40733023,41.865843892,-87.6923196475,"(41.865843892, -87.6923196475)"
Irving Park,16,Senior,Senior Residence at Kedzie,4054 N. Kedzie Ave.,60618,773-381-7400,G&A Management,51,1154285.68709254,1927005.6427548,41.9555313337,-87.7082078565,"(41.9555313337, -87.7082078565)"
Woodlawn,42,Multifamily,WECAN,6450 S. Stony Island Ave.,60637,773-288-3000,WECAN,117,1187957.59645308,1862318.63705917,41.7772869881,-87.5864933515,"(41.7772869881, -87.5864933515)"
Grand Boulevard,38,Multifamily,Shops & Lofts at 47,747 E. 47th St.,60653,855-618-4959,The Community Builders Inc.,72,1182241.94581458,1873977.25668576,41.8094135532,-87.6070855618,"(41.8094135532, -87.6070855618)"
South Lawndale,30,Multifamily,Resurrection Homes,2243 S. Central Park Ave.,60623,312-248-8355,The Resurrection Project,2,1152765.05949378,1888679.58859143,41.8503913261,-87.714813899,"(41.8503913261, -87.714813899)"
West Town,24,ARO,1938 W. North Ave.,1938 W. North Ave.,60622,312-423-5508,Dream Town Realty,2,,,,,
North Lawndale,29,Multifamily,Renaissance Place Apts.,3128 W. Douglas Blvd.,60623,773-762-3389,Lawndale Christian Residential Svcs.,11,1155600.25970312,1893326.91992638,41.8630876114,-87.7042831894,"(41.8630876114, -87.7042831894)"
Riverdale,54,Senior,Concordia Apts.,13037 S. Daniel Dr.,60627,773-995-5200,"DRE, Inc.",75,1180294.27389282,1818758.3719629,41.6579312533,-87.6159174009,"(41.6579312533, -87.6159174009)"
Douglas,35,ARO,Unity Hall,3138-40 S. Indiana Ave.,60616,312-929-2608,TRB properties,2,1178081.30364492,1884060.02112515,41.8371769457,-87.6220397684,"(41.8371769457, -87.6220397684)"
Edgewater,77,ARO,Glenlake LLC,1544 W. Glenlake Ave.,60660,773-404-9904,TMG Management,3,,,,,
Lower West Side,31,Multifamily,Casa Guanajuato,1313 W. 19th St.,60608,312-666-1323,The Resurrection Project,6,1167849.04843383,1890829.4987634,41.8559793927,-87.6593910822,"(41.8559793927, -87.6593910822)"
Logan Square,22,ARO,Noca Blu,2328-48 N. California Ave.,60647,707-483-8708,Pinnacle Living,14,1157275.91771058,1915411.86791901,41.9236568473,-87.6975312257,"(41.9236568473, -87.6975312257)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1834-36 N. Sawyer Ave.,60647,773-276-5338,LUCHA,6,,,,,
South Shore,43,Senior,Rainbow's End,7538 S. Kingston Ave.,60649,773-768-5402,"Urban Property Advisors, LLC",84,1194467.27997328,1855300.56071102,41.7578712724,-87.5628598349,"(41.7578712724, -87.5628598349)"
Austin,25,Multifamily,Rebecca Walker Complex,5565-71 W. Quincy Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139234.67986753,1898405.58439766,41.8773374951,-87.7642368505,"(41.8773374951, -87.7642368505)"
Washington Park,40,Multifamily,St. Edmund's Oasis,6143-51 S. Indiana Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,14,1178697.32194564,1864156.91005342,41.782547068,-87.6203852293,"(41.782547068, -87.6203852293)"
Humboldt Park,23,Supportive/Veterans,Hope Manor Apts.,3053 W. Franklin Blvd.,60612,773-475-6703,Volunteers of America Illinois,50,1155690.80062211,1903132.15330145,41.8899923467,-87.7036867659,"(41.8899923467, -87.7036867659)"
Uptown,3,Multifamily,Malden Arms Apts.,4727 N. Malden St.,60640,773-334-2164,Mercy Housing,41,1166646.83772236,1931640.34509817,41.967992713,-87.6626324087,"(41.967992713, -87.6626324087)"
Washington Park,40,Multifamily,St. Edmund's Manor,5947 S. Indiana Ave.,60653,773-548-8924,St. Edmund's Manor Ltd.,24,1178662.05637765,1865432.91595102,41.7860493567,-87.6204757369,"(41.7860493567, -87.6204757369)"
Chatham,44,Supportive Housing,Karibuni Place,8200 S. Ellis Ave.,60619,773-873-0708,Heartland Housing,72,1184284.1534667,1850796.89437228,41.7457569581,-87.6003199107,"(41.7457569581, -87.6003199107)"
Uptown,3,Multifamily,Uptown Preservation Apts.,4431 N. Clifton Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,18,1167869.51148089,1929704.26399314,41.9626536881,-87.6581928459,"(41.9626536881, -87.6581928459)"
Lakeview,6,Senior,Renaissance St. Luke Greenview Place,1501 W. Melrose St.,60657,773-525-1501,"RRG Development, Inc.",155,1165704.84803739,1921625.29387064,41.9405311557,-87.6663826053,"(41.9405311557, -87.6663826053)"
Austin,25,Senior,Senior Suites of Austin,335 N. Menard Ave.,60644,773-378-0333,Senior Lifestyle Corp.,84,1137686.37664547,1901819.13056976,41.8867327472,-87.7698395847,"(41.8867327472, -87.7698395847)"
Englewood,68,Supportive Housing,Englewood Apts.,901 W. 63rd Street,60621,773-994-3199,Mercy Housing,45,1171373.66149583,1863023.36778862,41.7795999913,-87.6472689598,"(41.7795999913, -87.6472689598)"
Logan Square,22,ARO,2400 Cortland,2404-14 W. Cortland St.,60647,312-489-1600,Laramar Group,2,1159990.63504139,1912594.26688295,41.9158694795,-87.6876342671,"(41.9158694795, -87.6876342671)"
West Ridge,2,ARO,"5822 North Western, LLC",5822 N. Western Ave.,60659,773-572-2755,Chicago Apartment Finders,2,1159227.2251011,1938700.5085265,41.9875222634,-87.6897187055,"(41.9875222634, -87.6897187055)"
Rogers Park,1,Senior,Wayne Senior Housing,6928 N. Wayne Ave.,60626,773-274-0177,CIG Management,119,1165843.89836178,1946058.5134415,42.0075737709,-87.6651711448,"(42.0075737709, -87.6651711448)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1649-51 N. Drake Ave.,60647,773-276-5338,LUCHA,6,,,,,
Douglas,35,Multifamily,Park Boulevard IIB,3633 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176929.88786903,1880943.18557502,41.8286501893,-87.6263588794,"(41.8286501893, -87.6263588794)"
North Center,5,ARO,1911-21 W. Irving Park Rd.,1911-21 W. Irving Park Rd.,60613,312-285-3749,Campell Street Asset Management Inc.,2,1162826.37086233,1926537.70811314,41.9540720487,-87.6768236931,"(41.9540720487, -87.6768236931)"
Near West Side,28,Senior,Roosevelt Place,1401 W. Roosevelt Road,60608,312-733-2436,"East Lake Management Group, Inc.",181,1167191.39600074,1894769.79701917,41.866806049,-87.6616918421,"(41.866806049, -87.6616918421)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,633 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,7,1181425.62409216,1871964.80121416,41.8039101011,-87.6101417643,"(41.8039101011, -87.6101417643)"
Washington Park,40,Supportive/Kinship Families,Coppin House,325-43 E. 55th Place,60637,773-752-2331,Interfaith Housing Corp.,28,1179276.07749895,1868251.46045241,41.7937697184,-87.6181384856,"(41.7937697184, -87.6181384856)"
Grand Boulevard,38,Multifamily,Legends South - Hansberry Square,4034 S. State St.,60609,773-548-8800,Interstate Realty Management Co.,181,1176907.63581022,1878122.62317409,41.8209108342,-87.6265256539,"(41.8209108342, -87.6265256539)"
Lower West Side,31,ARO,Woodwork Lofts,1414-48 W. 21st St.,60608,312-576-7392,Stellar Performance Inc.,10,1167176.94068693,1890229.83862937,41.8543483216,-87.6618752556,"(41.8543483216, -87.6618752556)"
Near North Side,8,ARO,Atrium at Old Town Park,300 W. Hill St.,60610,312-642-8707,Omni Group,41,1174106.10359573,1907721.57347326,41.9021952433,-87.6359209164,"(41.9021952433, -87.6359209164)"
Grand Boulevard,38,Multifamily,Hearts United II-The Quincy (scattered sites),701-27 E. 43rd St.,60653,773-924-2100,Bonheur Realty Services Corp.,81,1181681.40066803,1876615.50549655,41.8166660946,-87.6090599647,"(41.8166660946, -87.6090599647)"
Washington Park,40,Multifamily,St. Edmund's Oasis,215 E. 61st St.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,5,1178814.519628,1864578.62491886,41.7837016281,-87.6199427242,"(41.7837016281, -87.6199427242)"
Roseland,49,Senior,Roseland Ridge Senior Apts.,10400-30 S. Michigan Ave.,60628,773-548-8301,Neighborhood Housing Services,124,1178859.46478643,1836023.49073876,41.7053419518,-87.6206450334,"(41.7053419518, -87.6206450334)"
Douglas,35,Multifamily,Park Boulevard IIA,3612 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176848.8921292,1880973.88335737,41.8287362552,-87.6266551179,"(41.8287362552, -87.6266551179)"
Oakland,36,Multifamily,"Oakwood Shrs 1A, 1B, 2A, 2B1 (scattered sites)",3859 S. Vincennes Ave.,60653,773-373-1300,The Community Builders,534,1180730.09575241,1879250.69262958,41.8239192007,-87.6124684434,"(41.8239192007, -87.6124684434)"
Belmont Cragin,19,Senior,Senior Suites of Kelvyn Park,2715 N. Cicero Ave.,60639,773-252-0333,Senior Lifestyle Corp.,85,1143963.7949966,1917674.64689742,41.9301265688,-87.7463885389,"(41.9301265688, -87.7463885389)"
North Lawndale,29,Multifamily,Dr. King Apts.,1550 S. Hamlin Ave.,60623,773-776-7233,Lawndale Christian Residential Svcs.,45,1151263.62345472,1891891.93010818,41.8592359223,-87.720240298,"(41.8592359223, -87.720240298)"
Lakeview,6,ARO,Clarkview Apts.,3228 N. Clark St.,60657,773-562-6149,Glascott Realty,2,1169778.21100716,1921699.27186513,41.9406462133,-87.6514095081,"(41.9406462133, -87.6514095081)"
Uptown,3,ARO,4420 N. Sheridan Apts.,4420 N. Sheridan Road,60640,312-342-9655,Quest Chicago,1,,,,,
West Town,24,Multifamily,La Estancia,2753 W. Division St.,60622,773-227-6332,Bickerdike Redevelopment Corp.,59,1157605.97946191,1907820.48062404,41.902818751,-87.6965255554,"(41.902818751, -87.6965255554)"
Logan Square,22,Multifamily,1879 N. Milwaukee,1879 N. Milwaukee Ave.,60647,773-697-5276,Peak Properties,2,,,,,
East Garfield Park,27,Multifamily,Homan Square Apartments Phase I,750 S. Homan Ave.,60624,773-722-7320,Realty & Mortgage Co.,50,1153790.48476092,1896268.99094944,41.8711971734,-87.7108484249,"(41.8711971734, -87.7108484249)"
Humboldt Park,23,Supportive/Males 18-24yrs.,Solid Ground Supportive Housing Program,3507 W. North Ave.,60647,773-276-4900,"La Casa Norte, Inc.",35,1152641.11537222,1910367.06344281,41.9099064976,-87.7146950394,"(41.9099064976, -87.7146950394)"
West Town,24,ARO,1237 N. Milwaukee Ave.Owner LLC,1241 N. Milwaukee Ave.,60622,312-883-7331,CIM Group,6,1165423.81232186,1908434.93069578,41.9043420044,-87.667791761,"(41.9043420044, -87.667791761)"
Logan Square,22,Multifamily,Zapata Apts.,3734 W. Cortland St.,60647,773-227-6332,Bickerdike Apartments,30,1151016.2570625,1912402.3566704,41.9155235348,-87.720610728,"(41.9155235348, -87.720610728)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3108 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155507.65051345,1903207.94670113,41.890204017,-87.7043573374,"(41.890204017, -87.7043573374)"
Woodlawn,42,Multifamily,65th Street Apts.,848-58 E. 65th St.,60637,773-684-2056,"Urban Property Advisors, LLC",6,1183196.23965709,1862140.11489317,41.7769092523,-87.603953777,"(41.7769092523, -87.603953777)"
Avondale,21,ARO,The Field's Lofts,4000 W. Diversey Ave.,60639,773-327-6146,33 Realty,12,,,,,
Auburn Gresham,71,Senior,Auburn Commons,1626 W. 87th St.,60620,773-238-0850,"Urban Property Advisors, LLC",72,1166895.23997238,1847057.79550948,41.7358851523,-87.6641427166,"(41.7358851523, -87.6641427166)"
Englewood,68,Senior,Sangamon Terrace,6415 S. Sangamon St.,60621,312-234-9400,Evergreen Real Estate Services,34,1171120.28837403,1862217.20541804,41.7773933302,-87.6482214016,"(41.7773933302, -87.6482214016)"
Oakland,36,Senior,Oakwood Shores Terrace,3755 S. Cottage Grove Ave.,60653,773-373-1300,"The Community Builders, Inc.",148,1181955.52013662,1880134.93150733,41.826317314,-87.6079454471,"(41.826317314, -87.6079454471)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,3215 W. Huron St.,60624,773-227-6332,Bickerdike Apts.,6,1154724.08594761,1904442.81077501,41.8936083276,-87.7072018666,"(41.8936083276, -87.7072018666)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase VI,3609 W. Arthington St.,60624,773-722-7320,Realty & Mortgage Co.,52,1152417.1780591,1895758.86874347,41.8698245594,-87.7159038458,"(41.8698245594, -87.7159038458)"
West Garfield Park,26,Senior,Midwest Apts.,6 N. Hamlin Blvd.,60624,773-265-0323,Holsten Management Corp.,276,1151025.52582272,1899809.61951159,41.8809676236,-87.7209069325,"(41.8809676236, -87.7209069325)"
Near West Side,28,Multifamily,St. Andrew's Court,50 N. Hoyne Ave.,60612,312-226-7620,St. Andrew's Court LP,15,1162359.52633492,1900563.44456826,41.8828067022,-87.6792681084,"(41.8828067022, -87.6792681084)"
New City,61,Senior,New City Supportive Living,4707 S. Marshfield Ave.,60609,773-376-1223,BMA Management Ltd.,101,1166174.27531442,1873464.5181182,41.8083640191,-87.666033435,"(41.8083640191, -87.666033435)"
Montclare,18,ARO,Harlem & Wrightwood,2601-19 N. Harlem Ave.,60707,312-671-0777,NOAH Properties,2,1127689.87294364,1916489.61525647,41.9271648255,-87.8062190443,"(41.9271648255, -87.8062190443)"
North Lawndale,29,Multifamily,Park Doulglas,1345 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,17,1158291.04749663,1893459.95516573,41.8633981467,-87.6944018945,"(41.8633981467, -87.6944018945)"
West Ridge,2,Senior,G & A Senior Residences at Ravenswood,1818 W. Peterson Ave.,60660,773-381-7400,Eastgate Village Senior Corp.,89,1162949.47194798,1939941.18931285,41.9908491577,-87.6759930884,"(41.9908491577, -87.6759930884)"
Uptown,3,ARO,Somerset Place Apts.,5009 N. Sheridan Road,60640,317-596-2168,Zidan Management Group,16,1168763.55917347,1933706.92116403,41.9736177254,-87.6547892431,"(41.9736177254, -87.6547892431)"
Grand Boulevard,38,Multifamily,Geneva Gables,4420-24 S. Michigan Ave.,60653,773-924-7700,Tri-Mart Management Co.,65,1177858.68569568,1875634.19717979,41.8140608614,-87.6231122243,"(41.8140608614, -87.6231122243)"
Near North Side,8,Multifamily,Parkside of Old Town IIB,459 W. Division St.,60622,312=944-8500,Holsten Real Estate Dev. Corp.,94,1172865.27076405,1908241.23651266,41.9036488171,-87.6404632193,"(41.9036488171, -87.6404632193)"
Norwood Park,10,Senior,Senior Suites of Norwood Park,5700 N. Harlem Ave.,60631,888-339-2315,Senior Lifestyle,84,1127328.8153755,1937441.87283571,41.9846662832,-87.8070730079,"(41.9846662832, -87.8070730079)"
Jefferson Park,11,Senior,Senior Suites of Jefferson Park,5400 N. Northwest Hwy.,60630,773-775-7333,Senior Lifestyle Corp.,73,1136226.97129509,1935211.18542146,41.9783903918,-87.7743995653,"(41.9783903918, -87.7743995653)"
Oakland,36,Multifamily,Lakefront Phase II,1120 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184352.4695753,1877438.0400388,41.8188609893,-87.5992361922,"(41.8188609893, -87.5992361922)"
Roseland,49,Supportive Housing,Wentworth Commons,11045 S. Wentworth Ave.,60628,773-568-7804,Mercy Housing Lakefront,50,1176951.4016152,1831516.01589723,41.6930159121,-87.6277673462,"(41.6930159121, -87.6277673462)"
West Town,24,ARO,Bucktown Gateway,1667 N. Western Ave.,60647,773-398-5785,Bucktown Gateway,1,,,,,
Chicago Lawn,66,Senior,Churchview Supportive Assisted Living,2626 W. 63rd St.,60629,773-471-4444,Greater Southwest Dev. Corp.,86,1159807.02751173,1862817.68973373,41.7792809902,-87.6896794864,"(41.7792809902, -87.6896794864)"
Logan Square,22,Multifamily,Zapata Apts.,3230 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,100,1154370.98451523,1913144.87969827,41.9174946519,-87.7082658078,"(41.9174946519, -87.7082658078)"
North Lawndale,29,Supportive Housing,Independence Apts.,927 S. Indepenednece Blvd.,60624,773-549-8300,Realty & Mortgage Co.,58,,,,,
Hyde Park,41,Multifamily,Hyde Park Apts.,5330 S. Harper Ave.,60615,773-955-2610,"DRE, Inc.",36,1187148.23399175,1870068.25073405,41.7985717841,-87.5892145402,"(41.7985717841, -87.5892145402)"
Brighton Park,58,Multifamily,El Zócalo,3246 W. 47th St.,60632,312-870-4747,H&J Real Estate Management,30,1155315.53818384,1873325.09823632,41.8082058904,-87.7058647387,"(41.8082058904, -87.7058647387)"
Dunning,17,Senior,Autumn Green at Wright Campus,4239 N. Oak Park Ave.,60634,773-202-3388,Senior Lifestyle Corp.,129,1129981.01832919,1927628.48364357,41.9576922115,-87.7975440334,"(41.9576922115, -87.7975440334)"
West Town,24,ARO,945 Western,945 N. Western Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,2,1160270.73931956,1906410.57235504,41.8988951503,-87.6867764252,"(41.8988951503, -87.6867764252)"
Lower West Side,31,Multifamily,Casa Puebla,2014 S. Racine Ave.,60608,312-666-1323,The Resurrection Project,63,1168646.29658184,1890365.99095515,41.8546902787,-87.6564782084,"(41.8546902787, -87.6564782084)"
Logan Square,22,Multfamily,Tierra Linda Apts.,1858 N. Spaulding Ave.,60647,773-276-5338,LUCHA,3,,,,,
Austin,25,Senior HUD 202,Elois McCoy Village Apts.,4650 W. Van Buren St.,60644,773-626-5320,"Prairie Management & Development, Inc.",60,1145250.30767835,1897655.19476588,41.875166755,-87.7421678378,"(41.875166755, -87.7421678378)"
Woodlawn,42,Multifamily,The Grant at Woodlawn Pk Phase I,6227-29 S. Cottage Grove Ave.,60637,312-283-0030,Preservation Housing Management LLC,67,1182676.84689494,1863775.1466971,41.7814080037,-87.6058071228,"(41.7814080037, -87.6058071228)"
North Lawndale,29,Multifamily,Park Douglas,1310-14 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,10,1158535.3447374,1893803.5607362,41.8643360428,-87.6934956949,"(41.8643360428, -87.6934956949)"
West Englewood,67,Multifamily,Clara's Village,2115 W. 63rd St,60636,773-434-4929,Interfaith Housing Corp.,13,1163257.20279961,1862800.70664039,41.7791628235,-87.6770311971,"(41.7791628235, -87.6770311971)"
Portage Park,15,Senior,The Kilpatrick Renaissance,4655 W. Burteau Ave.,60641,773-283-4655,The Renaissance Cos.,98,1144211.76733991,1927249.55419532,41.9563963216,-87.7452358895,"(41.9563963216, -87.7452358895)"
Near North Side,8,Multifamily,Parkside of Old Town Phase IIA,544 W. Oak St.,60610,312-640-6032,Holsten Real Estate Dev. Corp.,111,1172196.03200951,1907097.53314717,41.9005252379,-87.6429552753,"(41.9005252379, -87.6429552753)"
South Lawndale,30,Multifamily,Casa Sor Juana,2700 S. Drake Ave.,60623,312-850-1935,The Resurrection Project,29,1153098.30218281,1885797.72782443,41.842476558,-87.713667149,"(41.842476558, -87.713667149)"
Greater Grand Crossing,69,Multifamily,Englewood Gardens,6956 S. Vincennes Ave.,60621,773-994-4830,"East Lake Management Group, Inc.",24,1176891.26825181,1858664.43366951,41.7675160252,-87.6271720535,"(41.7675160252, -87.6271720535)"
Near West Side,28,Multifamily,City Gardens,320 S. Maplewood Ave.,60612,844-842-2779,Interstate Realty Management Co.,76,1159392.5066662,1898418.37010203,41.8769819546,-87.6902221443,"(41.8769819546, -87.6902221443)"
